fajl,godina,mjesec_kraja,zemlja,dolasci,nocenja,struktura_%,prosjecan_boravak
TUR_02_2018_12.pdf,2018,12,Albanija,5090.0,8940.0,0.4,1.8
TUR_02_2018_12.pdf,2018,12,Austrija,26560.0,51560.0,2.4,1.9
TUR_02_2018_12.pdf,2018,12,Belgija,6566.0,15616.0,0.7,2.4
TUR_02_2018_12.pdf,2018,12,Bugarska,6685.0,12092.0,0.6,1.8
TUR_02_2018_12.pdf,2018,12,Crna Gora,16923.0,36847.0,1.7,2.2
TUR_02_2018_12.pdf,2018,12,Češka,5942.0,11895.0,0.5,2.0
TUR_02_2018_12.pdf,2018,12,Danska,5713.0,14823.0,0.7,2.6
TUR_02_2018_12.pdf,2018,12,Estonija,559.0,1364.0,0.1,2.4
TUR_02_2018_12.pdf,2018,12,Finska,2401.0,4541.0,0.2,1.9
TUR_02_2018_12.pdf,2018,12,Francuska,20282.0,61188.0,2.8,3.0
TUR_02_2018_12.pdf,2018,12,Grčka,6226.0,12839.0,0.6,2.1
TUR_02_2018_12.pdf,2018,12,Nizozemska/Holandija,15740.0,40461.0,1.9,2.6
TUR_02_2018_12.pdf,2018,12,Hrvatska,116823.0,270292.0,12.5,2.3
TUR_02_2018_12.pdf,2018,12,Irska,5602.0,20448.0,0.9,3.7
TUR_02_2018_12.pdf,2018,12,Island,336.0,1021.0,0.0,3.0
TUR_02_2018_12.pdf,2018,12,Italija,44979.0,106552.0,4.9,2.4
TUR_02_2018_12.pdf,2018,12,Kipar,854.0,1492.0,0.1,1.7
TUR_02_2018_12.pdf,2018,12,Latvija,690.0,1503.0,0.1,2.2
TUR_02_2018_12.pdf,2018,12,Litvanija,1215.0,1789.0,0.1,1.5
TUR_02_2018_12.pdf,2018,12,Luksemburg,642.0,1443.0,0.1,2.2
TUR_02_2018_12.pdf,2018,12,Mađarska,15070.0,27488.0,1.3,1.8
TUR_02_2018_12.pdf,2018,12,Sjeverna Makedonija,8891.0,18498.0,0.9,2.1
TUR_02_2018_12.pdf,2018,12,Malta,553.0,2898.0,0.1,5.2
TUR_02_2018_12.pdf,2018,12,Norveška,4752.0,10741.0,0.5,2.3
TUR_02_2018_12.pdf,2018,12,Njemačka,50402.0,107258.0,5.0,2.1
TUR_02_2018_12.pdf,2018,12,Poljska,39551.0,94532.0,4.4,2.4
TUR_02_2018_12.pdf,2018,12,Portugal,2981.0,5091.0,0.2,1.7
TUR_02_2018_12.pdf,2018,12,Rumunija,6508.0,15913.0,0.7,2.4
TUR_02_2018_12.pdf,2018,12,Rusija,5680.0,11908.0,0.5,2.1
TUR_02_2018_12.pdf,2018,12,Slovačka,4085.0,7870.0,0.4,1.9
TUR_02_2018_12.pdf,2018,12,Slovenija,65002.0,123131.0,5.7,1.9
TUR_02_2018_12.pdf,2018,12,Srbija,88797.0,178549.0,8.2,2.0
TUR_02_2018_12.pdf,2018,12,Španija,14292.0,25183.0,1.2,1.8
TUR_02_2018_12.pdf,2018,12,Švicarska,10983.0,22532.0,1.0,2.1
TUR_02_2018_12.pdf,2018,12,Švedska,12550.0,29156.0,1.3,2.3
TUR_02_2018_12.pdf,2018,12,Turska,85416.0,131989.0,6.1,1.5
TUR_02_2018_12.pdf,2018,12,Ujedinjeno Kraljevstvo,14202.0,32612.0,1.5,2.3
TUR_02_2018_12.pdf,2018,12,Ukrajina,1843.0,4228.0,0.2,2.3
TUR_02_2018_12.pdf,2018,12,Egipat,850.0,2509.0,0.1,3.0
TUR_02_2018_12.pdf,2018,12,Južnoafrička Republika,767.0,1666.0,0.1,2.2
TUR_02_2018_12.pdf,2018,12,Kanada,6799.0,12791.0,0.6,1.9
TUR_02_2018_12.pdf,2018,12,Brazil,3980.0,7227.0,0.3,1.8
TUR_02_2018_12.pdf,2018,12,Bahrein,7084.0,20004.0,0.9,2.8
TUR_02_2018_12.pdf,2018,12,Indija,2524.0,5396.0,0.2,2.1
TUR_02_2018_12.pdf,2018,12,Iran,899.0,2131.0,0.1,2.4
TUR_02_2018_12.pdf,2018,12,Izrael,7877.0,20712.0,1.0,2.6
TUR_02_2018_12.pdf,2018,12,Japan,7884.0,10582.0,0.5,1.3
TUR_02_2018_12.pdf,2018,12,Južna Koreja,45388.0,50553.0,2.3,1.1
TUR_02_2018_12.pdf,2018,12,Katar,3880.0,12894.0,0.6,3.3
TUR_02_2018_12.pdf,2018,12,Kina,58235.0,66703.0,3.1,1.1
TUR_02_2018_12.pdf,2018,12,Kuvajt,8223.0,29549.0,1.4,3.6
TUR_02_2018_12.pdf,2018,12,Malezija,18779.0,24478.0,1.1,1.3
TUR_02_2018_12.pdf,2018,12,Oman,11397.0,28220.0,1.3,2.5
TUR_02_2018_12.pdf,2018,12,Saudijska Arabija,30930.0,77443.0,3.6,2.5
TUR_02_2018_12.pdf,2018,12,UAE,35255.0,108662.0,5.0,3.1
TUR_02_2018_12.pdf,2018,12,Australija,9236.0,17640.0,0.8,1.9
TUR_02_2018_12.pdf,2018,12,Novi Zeland,1298.0,2170.0,0.1,1.7
TUR_02_2018_12.pdf,2018,12,Hoteli i sličan smještaj,1368275.0,2768206.0,,
TUR_02_2018_12.pdf,2018,12,Odmarališta i slični objekti za kraći odmor,56785.0,124386.0,,
TUR_02_2018_12.pdf,2018,12,Kampovi i prostori za kampiranje,14685.0,25000.0,,
TUR_02_2018_12.pdf,2018,12,Ostali smještaj,25667.0,122598.0,,
TUR_02_2018_12.pdf,2018,12,Hoteli i sličan smještaj,374518.0,742563.0,,
TUR_02_2018_12.pdf,2018,12,Odmarališta i slični objekti za kraći odmor,17789.0,31891.0,,
TUR_02_2018_12.pdf,2018,12,Kampovi i prostori za kampiranje,1836.0,2437.0,,
TUR_02_2018_12.pdf,2018,12,Ostali smještaj,18371.0,97895.0,,
TUR_02_2018_12.pdf,2018,12,Hoteli i sličan smještaj,993757.0,2025643.0,,
TUR_02_2018_12.pdf,2018,12,Odmarališta i slični objekti za kraći odmor,38996.0,92495.0,,
TUR_02_2018_12.pdf,2018,12,Kampovi i prostori za kampiranje,12849.0,22563.0,,
TUR_02_2018_12.pdf,2018,12,Ostali smještaj,7296.0,24703.0,,
TUR_02_2019_12.pdf,2019,12,Albanija,4787.0,8918.0,0.4,1.9
TUR_02_2019_12.pdf,2019,12,Austrija,28114.0,53279.0,2.2,1.9
TUR_02_2019_12.pdf,2019,12,Belgija,7432.0,17391.0,0.7,2.3
TUR_02_2019_12.pdf,2019,12,Bugarska,8019.0,14641.0,0.6,1.8
TUR_02_2019_12.pdf,2019,12,Crna Gora,18532.0,39721.0,1.6,2.1
TUR_02_2019_12.pdf,2019,12,Češka,9033.0,16859.0,0.7,1.9
TUR_02_2019_12.pdf,2019,12,Danska,6922.0,16602.0,0.7,2.4
TUR_02_2019_12.pdf,2019,12,Estonija,565.0,1313.0,0.1,2.3
TUR_02_2019_12.pdf,2019,12,Finska,3596.0,8083.0,0.3,2.2
TUR_02_2019_12.pdf,2019,12,Francuska,20234.0,55484.0,2.3,2.7
TUR_02_2019_12.pdf,2019,12,Grčka,6356.0,12603.0,0.5,2.0
TUR_02_2019_12.pdf,2019,12,Nizozemska/Holandija,17000.0,41138.0,1.7,2.4
TUR_02_2019_12.pdf,2019,12,Hrvatska,138293.0,315085.0,13.0,2.3
TUR_02_2019_12.pdf,2019,12,Irska,4813.0,15261.0,0.6,3.2
TUR_02_2019_12.pdf,2019,12,Island,478.0,1422.0,0.1,3.0
TUR_02_2019_12.pdf,2019,12,Italija,47841.0,118753.0,4.9,2.5
TUR_02_2019_12.pdf,2019,12,Kipar,825.0,1158.0,0.0,1.4
TUR_02_2019_12.pdf,2019,12,Latvija,802.0,1996.0,0.1,2.5
TUR_02_2019_12.pdf,2019,12,Litvanija,1384.0,2782.0,0.1,2.0
TUR_02_2019_12.pdf,2019,12,Luksemburg,830.0,1782.0,0.1,2.1
TUR_02_2019_12.pdf,2019,12,Mađarska,18082.0,32654.0,1.3,1.8
TUR_02_2019_12.pdf,2019,12,Malta,472.0,2197.0,0.1,4.7
TUR_02_2019_12.pdf,2019,12,Norveška,4947.0,11257.0,0.5,2.3
TUR_02_2019_12.pdf,2019,12,Njemačka,56782.0,121435.0,5.0,2.1
TUR_02_2019_12.pdf,2019,12,Poljska,37497.0,88504.0,3.7,2.4
TUR_02_2019_12.pdf,2019,12,Portugal,3803.0,5432.0,0.2,1.4
TUR_02_2019_12.pdf,2019,12,Rumunija,6240.0,12984.0,0.5,2.1
TUR_02_2019_12.pdf,2019,12,Rusija,6628.0,13625.0,0.6,2.1
TUR_02_2019_12.pdf,2019,12,Sjeverna Makedonija 1 ),10308.0,20042.0,0.8,1.9
TUR_02_2019_12.pdf,2019,12,Slovačka,4340.0,9212.0,0.4,2.1
TUR_02_2019_12.pdf,2019,12,Slovenija,67930.0,128690.0,5.3,1.9
TUR_02_2019_12.pdf,2019,12,Srbija,102316.0,203527.0,8.4,2.0
TUR_02_2019_12.pdf,2019,12,Španija,17417.0,30322.0,1.3,1.7
TUR_02_2019_12.pdf,2019,12,Švicarska,12560.0,27126.0,1.1,2.2
TUR_02_2019_12.pdf,2019,12,Švedska,13763.0,30695.0,1.3,2.2
TUR_02_2019_12.pdf,2019,12,Turska,70988.0,112035.0,4.6,1.6
TUR_02_2019_12.pdf,2019,12,Ujedinjeno Kraljevstvo,15082.0,35686.0,1.5,2.4
TUR_02_2019_12.pdf,2019,12,Ukrajina,2090.0,5505.0,0.2,2.6
TUR_02_2019_12.pdf,2019,12,Egipat,1262.0,3520.0,0.1,2.8
TUR_02_2019_12.pdf,2019,12,Južnoafrička Republika,655.0,1402.0,0.1,2.1
TUR_02_2019_12.pdf,2019,12,Kanada,7675.0,15538.0,0.6,2.0
TUR_02_2019_12.pdf,2019,12,Brazil,5731.0,11165.0,0.5,1.9
