fajl,godina,mjesec_kraja,zemlja,dolasci,nocenja,struktura_%,prosjecan_boravak,log_struktura,klaster
TUR_02_2025_12.pdf,2025,12,Albanija,3874.0,7657.0,0.3,2.0,-0.5228787452803376,0
TUR_02_2025_12.pdf,2025,12,Austrija,39227.0,75808.0,2.6,1.9,0.414973347970818,2
TUR_02_2025_12.pdf,2025,12,Belgija,7168.0,16473.0,0.6,2.3,-0.2218487496163564,0
TUR_02_2025_12.pdf,2025,12,Bugarska,10207.0,20648.0,0.7,2.0,-0.1549019599857432,0
TUR_02_2025_12.pdf,2025,12,Crna Gora,35608.0,82524.0,2.9,2.3,0.4623979978989561,2
TUR_02_2025_12.pdf,2025,12,Češka,8630.0,16549.0,0.6,1.9,-0.2218487496163564,0
TUR_02_2025_12.pdf,2025,12,Danska,5773.0,15338.0,0.5,2.7,-0.3010299956639812,1
TUR_02_2025_12.pdf,2025,12,Estonija,796.0,1627.0,0.1,2.0,-1.0,0
TUR_02_2025_12.pdf,2025,12,Finska,1790.0,3787.0,0.1,2.1,-1.0,0
TUR_02_2025_12.pdf,2025,12,Francuska,21994.0,70126.0,2.4,3.2,0.38021124171160603,1
TUR_02_2025_12.pdf,2025,12,Grčka,7015.0,14053.0,0.5,2.0,-0.3010299956639812,0
TUR_02_2025_12.pdf,2025,12,Nizozemska/Holandija,20921.0,50915.0,1.8,2.4,0.25527250510330607,2
TUR_02_2025_12.pdf,2025,12,Hrvatska,180648.0,405633.0,14.1,2.2,1.14921911265538,2
TUR_02_2025_12.pdf,2025,12,Irska,5772.0,14069.0,0.5,2.4,-0.3010299956639812,0
TUR_02_2025_12.pdf,2025,12,Italija,38362.0,88267.0,3.1,2.3,0.4913616938342727,2
TUR_02_2025_12.pdf,2025,12,Kipar,996.0,1939.0,0.1,1.9,-1.0,0
TUR_02_2025_12.pdf,2025,12,Latvija,1472.0,4703.0,0.2,3.2,-0.6989700043360187,1
TUR_02_2025_12.pdf,2025,12,Litvanija,1325.0,2537.0,0.1,1.9,-1.0,0
TUR_02_2025_12.pdf,2025,12,Luksemburg,1243.0,2942.0,0.1,2.4,-1.0,0
TUR_02_2025_12.pdf,2025,12,Mađarska,17979.0,36045.0,1.3,2.0,0.11394335230683679,2
TUR_02_2025_12.pdf,2025,12,Malta,807.0,1819.0,0.1,2.3,-1.0,0
TUR_02_2025_12.pdf,2025,12,Norveška,4883.0,10886.0,0.4,2.2,-0.3979400086720376,0
TUR_02_2025_12.pdf,2025,12,Njemačka,58972.0,127486.0,4.4,2.2,0.6434526764861874,2
TUR_02_2025_12.pdf,2025,12,Poljska,32629.0,85809.0,3.0,2.6,0.47712125471966244,2
TUR_02_2025_12.pdf,2025,12,Portugal,2363.0,4481.0,0.2,1.9,-0.6989700043360187,0
TUR_02_2025_12.pdf,2025,12,Rumunija,7925.0,17766.0,0.6,2.2,-0.2218487496163564,0
TUR_02_2025_12.pdf,2025,12,Rusija,11737.0,22082.0,0.8,1.9,-0.09691001300805639,0
TUR_02_2025_12.pdf,2025,12,Sjeverna Makedonija,13423.0,25721.0,0.9,1.9,-0.045757490560675115,0
TUR_02_2025_12.pdf,2025,12,Slovačka,6821.0,14247.0,0.5,2.1,-0.3010299956639812,0
TUR_02_2025_12.pdf,2025,12,Slovenija,78046.0,170512.0,5.9,2.2,0.7708520116421442,2
TUR_02_2025_12.pdf,2025,12,Srbija,149245.0,312063.0,10.9,2.1,1.0374264979406236,2
TUR_02_2025_12.pdf,2025,12,Španija,15341.0,31203.0,1.1,2.0,0.04139268515822508,2
TUR_02_2025_12.pdf,2025,12,Švedska,13705.0,32664.0,1.1,2.4,0.04139268515822508,2
TUR_02_2025_12.pdf,2025,12,Turska,193765.0,277588.0,9.7,1.4,0.9867717342662449,2
TUR_02_2025_12.pdf,2025,12,Ujedinjeno Kraljevstvo,25929.0,63632.0,2.2,2.5,0.3424226808222063,2
TUR_02_2025_12.pdf,2025,12,Ukrajina,3502.0,8913.0,0.3,2.5,-0.5228787452803376,0
TUR_02_2025_12.pdf,2025,12,Ostale zemlje evropske,4727.0,9821.0,0.3,2.1,-0.5228787452803376,0
TUR_02_2025_12.pdf,2025,12,Egipat,1318.0,4680.0,0.2,3.6,-0.6989700043360187,1
TUR_02_2025_12.pdf,2025,12,Južnoafrička Republika,804.0,1757.0,0.1,2.2,-1.0,0
TUR_02_2025_12.pdf,2025,12,Kanada,8252.0,17264.0,0.6,2.1,-0.2218487496163564,0
TUR_02_2025_12.pdf,2025,12,Ostale američke sjeverno- zemlje,2960.0,6231.0,0.2,2.1,-0.6989700043360187,0
TUR_02_2025_12.pdf,2025,12,Brazil,4674.0,9567.0,0.3,2.0,-0.5228787452803376,0
TUR_02_2025_12.pdf,2025,12,Ostale Srednje zemlje Amerike Južne i,8776.0,18818.0,0.7,2.1,-0.1549019599857432,0
TUR_02_2025_12.pdf,2025,12,Bahrein,1873.0,5312.0,0.2,2.8,-0.6989700043360187,1
TUR_02_2025_12.pdf,2025,12,Indija,5016.0,9005.0,0.3,1.8,-0.5228787452803376,0
TUR_02_2025_12.pdf,2025,12,Izrael,18079.0,44492.0,1.6,2.5,0.2041199826559248,2
TUR_02_2025_12.pdf,2025,12,Japan,2912.0,4423.0,0.2,1.5,-0.6989700043360187,0
TUR_02_2025_12.pdf,2025,12,Južna Koreja,7409.0,10437.0,0.4,1.4,-0.3979400086720376,0
TUR_02_2025_12.pdf,2025,12,Katar,2172.0,7420.0,0.3,3.4,-0.5228787452803376,1
TUR_02_2025_12.pdf,2025,12,Kina,90832.0,108323.0,3.8,1.2,0.5797835966168101,2
TUR_02_2025_12.pdf,2025,12,Kuvajt,12915.0,45684.0,1.6,3.5,0.2041199826559248,1
TUR_02_2025_12.pdf,2025,12,Malezija,10235.0,13835.0,0.5,1.4,-0.3010299956639812,0
